CP3,C3,F5,PO3,PO4,F6,C4,CP4
-133.23873901367188,-187.08407592773438,-838.5926513671875,-925.6303100585938,-211.69334411621094,-110.43995666503906,-625.0888061523438,-1029.7000732421875
-345.8038024902344,-85.96479797363281,-416.6141052246094,-1018.4347534179688,-517.9345703125,-77.04645538330078,-258.43084716796875,-956.3416137695312
91.1280517578125,44.59172439575195,-915.0355834960938,-1108.1546630859375,-27.827919006347656,132.50112915039062,-564.40380859375,-1246.8248291015625
-215.71665954589844,132.56817626953125,-293.7689514160156,-1264.6614990234375,-503.5177001953125,154.2940673828125,-67.12228393554688,-1153.0146484375
-455.5732116699219,-44.390560150146484,-1434.110107421875,-2386.495361328125,-769.257568359375,-29.638410568237305,-875.3389282226562,-2468.23583984375
-1196.332275390625,-152.68475341796875,-454.90264892578125,-2297.244873046875,-1675.9112548828125,-281.2966613769531,-153.69058227539062,-1891.2255859375
10438.8896484375,10325.56640625,9885.4150390625,9976.8115234375,10428.697265625,10373.64453125,10010.2724609375,9852.021484375
10364.994140625,10369.3525390625,10144.6513671875,9843.3046875,10292.5078125,10428.6298828125,10244.4287109375,9797.1708984375
-188.55929565429688,-189.49806213378906,-1183.6588134765625,-1401.38720703125,-304.83306884765625,-132.56817626953125,-823.9075317382812,-1542.7396240234375
-487.96087646484375,-150.20370483398438,-556.8936767578125,-1523.4276123046875,-726.677490234375,-69.20099639892578,-289.3432922363281,-1425.8623046875
-1226.708251953125,-750.8843994140625,-497.4156494140625,-1439.0721435546875,-1172.7288818359375,-1006.7671508789062,-283.7106628417969,-1311.734375
-1187.0115966796875,-1222.819091796875,-336.0807800292969,-1089.379150390625,-1280.8218994140625,-1254.8714599609375,-538.3193359375,-759.2662963867188
-31909.50390625,-31853.04296875,-31938.671875,-32008.87890625,-31924.322265625,-31874.701171875,-31885.83203125,-31984.806640625
-31926.669921875,-31915.73828125,-31876.4453125,-31980.24609375,-31911.044921875,-31893.341796875,-31852.3046875,-31980.71484375
