CP3,C3,F5,PO3,PO4,F6,C4,CP4
19291.720703125,19288.501953125,19271.73828125,19291.185546875,19302.44921875,19295.41015625,19274.5546875,19276.56640625
19283.40625,19285.619140625,19276.43359375,19280.791015625,19282.869140625,19269.7265625,19266.642578125,19270.732421875
-401.72784423828125,-403.5383605957031,-428.1476135253906,-417.9552307128906,-400.3867492675781,-404.9465026855469,-414.334228515625,-411.24969482421875
-425.2642517089844,-423.7890319824219,-416.2117919921875,-393.748291015625,-381.6783447265625,-426.5382995605469,-420.9056396484375,-390.9990234375
-14132.8271484375,-14190.4951171875,-14267.8095703125,-14199.0107421875,-14083.9443359375,-14055.7138671875,-14107.01171875,-14086.08984375
-14035.865234375,-14146.9091796875,-14206.3203125,-14157.5712890625,-14066.6435546875,-14065.302734375,-14036.9384765625,-13963.7138671875
10772.82421875,10778.1884765625,10769.6728515625,10783.150390625,10793.41015625,10795.4892578125,10785.0283203125,10791.5322265625
10794.7509765625,10797.5009765625,10798.9091796875,10809.90625,10808.498046875,10795.421875,10802.865234375,10814.197265625
-989.1316528320312,-950.6419067382812,-971.4290771484375,-982.1578979492188,-931.866455078125,-899.2776489257812,-924.2892456054688,-937.364990234375
-950.91015625,-932.0005493164062,-926.569091796875,-924.82568359375,-916.9131469726562,-951.3795166015625,-952.653564453125,-906.9889526367188
18401.228515625,18411.62109375,18400.69140625,18417.455078125,18430.59765625,18414.169921875,18401.16015625,18407.53125
18396.265625,18393.11328125,18411.21875,18427.849609375,18416.314453125,18397.5390625,18423.625,18420.337890625
24286.462890625,24289.48046875,24279.2890625,24293.169921875,24296.388671875,24286.462890625,24277.142578125,24278.88671875
24265.67578125,24263.53125,24273.052734375,24287.40234375,24274.326171875,24244.15234375,24250.052734375,24256.826171875
23549.392578125,23547.044921875,23539.8046875,23555.361328125,23556.03125,23547.314453125,23531.958984375,23535.109375
23533.634765625,23535.9140625,23551.001953125,23569.7109375,23563.408203125,23540.072265625,23554.287109375,23572.326171875
