CP3,C3,F5,PO3,PO4,F6,C4,CP4
840.3360595703125,-4475.80224609375,-989.0645751953125,3813.095458984375,-5460.23974609375,-9689.8154296875,-8625.0458984375,-8774.0419921875
-32129.51171875,5350.6044921875,710.6513061523438,-30173.509765625,5927.61474609375,6940.95361328125,7370.6435546875,7413.42431640625
-76858.1640625,11559.3818359375,1201.5626220703125,-74119.09375,12376.4501953125,19334.837890625,16963.49609375,17755.6875
-52306.6953125,1679.3980712890625,-463.4186706542969,-46564.2890625,290.75146484375,5595.892578125,2269.75244140625,3259.152099609375
-1764.0888671875,-5973.5478515625,-1393.340576171875,2420.224365234375,-7543.98095703125,-10927.7890625,-10652.728515625,-10643.2734375
-18033.966796875,2701.252685546875,483.3340759277344,-16459.443359375,3011.919677734375,1902.423828125,3038.004150390625,2896.71875
-68842.9140625,10776.04296875,1138.1282958984375,-66270.2109375,11725.0751953125,17566.32421875,15899.330078125,16481.369140625
-65652.5625,5583.21923828125,198.88580322265625,-60835.78515625,4956.2529296875,11585.33203125,8177.31787109375,9243.697265625
-10240.47265625,-6171.9638671875,-1631.25244140625,-4749.7900390625,-8094.83984375,-9664.06640625,-10464.50390625,-10148.875
-6982.86279296875,44.45761489868164,93.81025695800781,-5487.93359375,39.093196868896484,-2962.030517578125,-1391.8653564453125,-1582.5704345703125
-56952.75390625,9210.5712890625,924.82568359375,-54510.66796875,10148.7412109375,14459.7216796875,13565.40625,13988.3232421875
-74828,8883.677734375,562.9956665039062,-70982.25,8983.9248046875,16172.6474609375,13056.45703125,14148.9208984375
-23956.41796875,-4617.89208984375,-1725.39794921875,-17653.427734375,-6653.62158203125,-5702.10791015625,-7604.46484375,-6939.67919921875
-466.3020324707031,-2590.6787109375,-541.6050415039062,1623.7423095703125,-3069.855224609375,-7302.11279296875,-5714.2451171875,-5892.947265625
-42571.953125,6997.9501953125,740.5579223632812,-40322.85546875,7741.25732421875,10214.1875,10102.5400390625,10332.5400390625
-77636.9453125,10786.1015625,895.2543334960938,-74387.3125,11398.181640625,18451.98828125,15782.5869140625,16734.837890625
-39831.47265625,-1435.3841552734375,-1200.422607421875,-33476.11328125,-3207.385498046875,192.31439208984375,-2543.4716796875,-1652.9783935546875
945.8809814453125,-4774.60009765625,-1068.4580078125,4128.99267578125,-5845.27099609375,-10115.0126953125,-9028.583984375,-9128.0263671875
-27897.791015625,4600.2568359375,644.7359619140625,-26017.5625,5116.1796875,5586.3037109375,6241.7685546875,6255.71630859375
-74345.8046875,11174.8203125,1076.4375,-71521.3046875,12037.4189453125,18612.384765625,16492.76953125,17252.236328125
-55619.55859375,2560.906005859375,-422.1126403808594,-49971.09765625,1436.3228759765625,6903.0673828125,3680.99658203125,4699.43115234375
-3475.070068359375,-6115.0341796875,-1524.768798828125,1110.3004150390625,-7735.28955078125,-10815.7392578125,-10699.0634765625,-10612.830078125
-14618.44140625,1973.5023193359375,361.360595703125,-13084.28515625,2212.55419921875,589.2813110351562,1875.6016845703125,1730.561279296875
-65537.2265625,10314.6357421875,1016.1549072265625,-62919.32421875,11263.8701171875,16663.759765625,15239.439453125,15783.7939453125
-68093.5078125,6441.72705078125,206.46304321289062,-63472.1953125,6007.4775390625,12730.970703125,9478.390625,10533.1689453125
-13044.923828125,-5892.20947265625,-1717.552490234375,-7328.33154296875,-7878.58642578125,-8890.1142578125,-9891.115234375,-9540.8857421875
-4328.2138671875,-613.3541259765625,-0.737607479095459,-2843.879150390625,-740.3567504882812,-4085.8759765625,-2452.276611328125,-2702.258544921875
-52379.98828125,8514.0693359375,914.8344116210938,-49977.46484375,9302.7724609375,13204.4482421875,12511.4326171875,12823.171875
-74702.7421875,9181.201171875,697.0390625,-70916.3984375,9283.3935546875,16382.865234375,13434.1123046875,14379.859375
-26029.296875,-4026.465087890625,-1461.4686279296875,-19748.904296875,-6104.439453125,-4772.119140625,-6731.80810546875,-6157.07763671875
1683.3543701171875,-2934.739013671875,-378.6608581542969,3529.250732421875,-3526.50146484375,-7777.9365234375,-6235.06298828125,-6487.458984375
-37630.72265625,6390.56396484375,917.5166625976562,-35644.8125,7031.27685546875,9215.8017578125,9198.166015625,9333.6845703125
-76120.0859375,10769.337890625,1125.7901611328125,-73013.5546875,11349.365234375,18428.05078125,15837.37109375,16689.978515625
-42304.40234375,-699.3189697265625,-788.5023803710938,-36143.50390625,-2431.22119140625,1488.1566162109375,-1355.5213623046875,-522.4943237304688
1732.3717041015625,-5022.50341796875,-903.7703247070312,4803.76953125,-6187.4541015625,-10302.767578125,-9350.8515625,-9495.421875
-23463.830078125,3977.24658203125,732.9806518554688,-21944.76171875,4416.39111328125,4564.8515625,5285.96337890625,5243.31640625
-71807.8984375,10875.3515625,1113.0496826171875,-69109.8671875,11709.7197265625,18069.640625,16101.099609375,16762.0625
-58015.7109375,3289.19287109375,-227.98776245117188,-52655.25,2225.76416015625,7987.95361328125,4826.63525390625,5801.48388671875
-4124.298828125,-6145.67822265625,-1455.701904296875,426.0018615722656,-7808.24560546875,-10681.16015625,-10654.13671875,-10543.361328125
-11031.724609375,1442.35791015625,409.3050842285156,-9840.1533203125,1669.7421875,-343.72509765625,1051.15771484375,912.1522216796875
-62237.64453125,9891.2490234375,1002.2744750976562,-59765.51953125,10875.28515625,15929.7060546875,14657.802734375,15189.751953125
-70485.703125,7225.46875,320.4569091796875,-66208.921875,6993.45751953125,13888.34375,10677.2705078125,11815.0634765625
-16132.8837890625,-5607.2919921875,-1753.8294677734375,-10303.03515625,-7585.890625,-8026.97998046875,-9306.05859375,-8769.7509765625
-2539.515380859375,-1225.4342041015625,-157.51272583007812,-1057.393798828125,-1416.1392822265625,-5046.77734375,-3430.2099609375,-3605.22412109375
-49748.203125,8179.3291015625,840.4031372070312,-47501.51953125,8989.490234375,12595.1845703125,11992.693359375,12318.7822265625
-77687.296875,10287.3447265625,766.5753173828125,-74310.53125,10635.4951171875,18022.56640625,15027.0087890625,16018.15234375
-32073.7890625,-3039.009765625,-1497.7454833984375,-25775.9609375,-5040.0048828125,-2596.914794921875,-5047.31396484375,-4347.3916015625
1648.8209228515625,-3842.197265625,-808.88720703125,4013.992919921875,-4629.56005859375,-8976.146484375,-7587.96923828125,-7833.1904296875
-34033.74609375,5699.0908203125,694.8262329101562,-32087.333984375,6296.68701171875,7782.4296875,8084.37890625,8132.25634765625
-75593.296875,10893.322265625,948.2949829101562,-72604.1796875,11544.96484375,18439.44921875,16072.66796875,16837.96875
-46095.3046875,228.5242156982422,-813.5810546875,-40133.828125,-1382.0751953125,3049.73876953125,123.85099792480469,939.5778198242188
1490.570556640625,-5386.54638671875,-1062.55712890625,4714.65283203125,-6704.1142578125,-10598.681640625,-9829.55859375,-9990.423828125
-19073.658203125,3311.857666015625,727.2809448242188,-17781.705078125,3672.01123046875,3332.912841796875,4200.74169921875,4068.5087890625
-68001.7734375,10429.970703125,1144.90087890625,-65329.15625,11185.6162109375,17276.98046875,15443.0869140625,15993.6767578125
-59087.25390625,3921.926025390625,24.609268188476562,-53932.8515625,2877.741943359375,8931.287109375,5762.52490234375,6641.5517578125
-4485.927734375,-5983.60595703125,-1224.4954833984375,-39.76374816894531,-7758.22265625,-10211.638671875,-10329.9912109375,-10314.5693359375
-7102.6904296875,934.4816284179688,603.6311645507812,-6331.62255859375,1062.35595703125,-1131.8922119140625,305.50360107421875,54.65000915527344
-56715.578125,9026.2373046875,1129.5452880859375,-54354.2265625,9811.9228515625,14572.375,13516.2548828125,13907.1865234375
-68804.765625,7043.5478515625,559.1735229492188,-64579.61328125,6783.84326171875,13455.033203125,10627.314453125,11532.6943359375
-15713.1181640625,-5337.52880859375,-1333.5943603515625,-10179.4521484375,-7253.4306640625,-7812.06787109375,-8712.150390625,-8398.2646484375
1184.8658447265625,-1509.681396484375,179.5738983154297,1951.843505859375,-1676.1124267578125,-5480.22216796875,-3664.7021484375,-3927.15625
-42546.40625,7018.06689453125,933.8110961914062,-40564.3203125,7750.376953125,10873.541015625,10486.833984375,10771.9521484375
-72703.9609375,9029.9921875,652.9837646484375,-69220.90625,9398.326171875,16135.0966796875,13578.28125,14526.77734375
-30230.91015625,-3122.761962890625,-1341.0374755859375,-24207.205078125,-4845.00830078125,-3151.595703125,-5001.91748046875,-4286.10302734375
4613.1982421875,-3634.460205078125,-421.5762023925781,6053.81298828125,-4214.15283203125,-8770.5556640625,-7138.63232421875,-7268.31689453125
-28096.005859375,5001.11279296875,818.3419799804688,-26726.46875,5582.41455078125,6927.0732421875,7186.912109375,7360.71923828125
-71128.765625,10139.6884765625,748.269287109375,-68254.9765625,10824.1884765625,17317.615234375,15077.8369140625,15950.8291015625
-46435.140625,531.680908203125,-1040.2947998046875,-40722.1015625,-851.26611328125,3426.991455078125,633.5377807617188,1630.716064453125
2259.760986328125,-5364.619140625,-1241.7957763671875,5133.748046875,-6568.46142578125,-10489.9853515625,-9716.5703125,-9659.9755859375
-14606.3046875,2767.503173828125,591.0247802734375,-13840.3994140625,3119.4091796875,2541.124755859375,3384.612548828125,3400.102294921875
-63336.140625,9727.634765625,718.228515625,-60807.2890625,10501.9208984375,16313.798828125,14451.6083984375,15116.1923828125
-59143.3125,4220.8583984375,-576.4737548828125,-54211.6015625,3434.166259765625,9429.5068359375,6240.89697265625,7272.2060546875
